avg_vf,departements,commune,ranking
1100000.000000,6,"LA BRIGUE",1
355000.000000,6,TENDE,2
247649.947368,6,VALLAURIS,3
425000.000000,13,ENSUESLAREDONNE,1
390000.000000,13,CHATEAURENARD,2
267633.333333,13,GREASQUE,3
561500.000000,33,"ST SULPICE ET CAMEYRAC",3
522500.000000,33,CESTAS,1
454728.750000,33,BLANQUEFORT,2
504500.000000,59,ENNETIERESENWEPPES,2
344500.000000,59,WAVRIN,1
156361.111111,59,TOURCOING,3
515185.000000,69,"SAINTEFOYL ARGENTIERE",1
286209.166667,69,MEYZIEU,2
272106.000000,69,CHARBONNIERESLESBAINS,3
